Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	16.539085	10.603749	95.79174	5.8488927	84.08951	0.6367751	84.95075	83.223785	21.446236	46.0	3999	10.028611	7.5222826	43.423946	-9.830189	10.028321	7.5235586	43.349876	-10.169221	-0.034375332	2.1598878	21.483164	-10.649213	-11.436298	1.2288221	93.93072056770325
2	19.911667	17.619701	98.60738	5.5427513	128.59433	10.909908	160.65228	121.39178	23.438597	67.3	7999	44.317364	20.532248	153.85251	-44.61542	44.317024	20.537306	152.59532	-46.953915	2.1379852	2.722588	26.147251	-12.409001	-48.727264	14.858635	215.76130437850952
3	48.6744	77.74499	400.19836	4.6529236	518.0223	1.3070765	519.83734	516.294	32.74576	197.5	11999	141.70662	63.725784	321.40225	-88.89935	141.70921	63.76363	325.20032	-90.51284	4.473741	3.2369542	47.055347	-12.161102	-156.83406	148.81647	347.2617332935333
4	387.92487	74.39958	583.0439	251.3206	304.25595	150.3166	655.03064	139.68268	180.66667	314.8	15999	239.04745	58.615654	344.8985	-455.1098	239.0478	58.694378	353.0209	-361.88785	3.5966434	3.7797163	65.74868	-10.793039	-250.52574	282.5767	498.19441652297974
5	292.0385	133.58975	744.01874	44.24988	301.68283	3.5373125	307.991	297.21558	154.42857	131.2	19999	241.34178	64.495636	381.35388	-137.09438	241.33849	64.54281	385.16528	-102.77515	3.3348591	3.6690257	60.402252	-10.933173	-249.77263	219.21896	636.2061967849731
6	279.67953	48.594265	371.103	195.61601	248.75974	1.5079119	252.07837	246.58783	114.85714	104.8	23999	238.68924	72.161514	382.64062	-144.4106	238.68774	72.18203	385.41467	-123.68349	3.238758	3.5031953	43.233826	-11.667492	-246.22672	183.94835	764.4136137962341
7	217.54614	41.411484	281.68005	32.682312	251.48833	7.810206	261.0738	238.88332	97.675	112.1	27999	227.77788	73.46197	337.3375	-255.13095	227.77504	73.48353	337.47058	-520.7654	3.2129903	3.5450366	39.796402	-14.182268	-233.65022	152.15009	907.402382850647
8	408.90802	185.19595	879.2864	7.2418914	506.90552	235.85492	732.87634	202.26038	160.88	242.2	31999	214.59093	75.34215	334.6937	-139.44604	214.59108	75.342064	331.8241	-158.66838	3.0813024	3.292897	49.02275	-12.146024	-219.74966	121.39392	1061.4048295021057
9	423.71906	489.8039	2418.1648	32.56685	261.3494	2.2851176	264.98334	256.7237	182.13637	119.7	35999	209.2161	73.61697	353.74918	-165.97095	209.2154	73.62228	344.13837	-222.8649	3.027255	3.357406	61.08071	-11.116793	-213.74876	125.263275	1206.7404584884644
10	420.43204	179.2798	1056.6307	278.01123	1112.3	310.27338	1744.0231	760.19977	171.04546	486.2	39999	204.73892	76.393845	335.97867	-218.93095	204.73836	76.40106	334.49826	-167.0158	2.7761884	3.1956978	71.44305	-11.20299	-208.85725	107.0513	1367.8288600444794
11	351.5678	424.28387	1647.5013	8.916966	458.76508	7.401788	473.34464	446.2202	144.58621	158.3	43999	192.26064	71.48329	321.35016	-243.20699	192.2602	71.48113	316.27298	-231.33246	2.2977543	3.079263	63.456093	-12.812206	-195.4185	108.769394	1525.199998140335
12	993.9507	793.25	2907.7134	226.551	190.48306	9.232219	218.06195	185.98814	373.9	86.1	47999	185.93384	65.69142	302.61508	-358.26114	185.93282	65.69659	296.94638	-345.2239	2.1716337	2.880063	45.04252	-12.87608	-188.91324	97.966576	1684.924473285675
13	680.656	497.57104	1862.9684	180.64444	1245.5768	493.29495	2163.1174	650.2664	247.0	543.4	51999	181.44218	60.871925	280.12833	-158.37776	181.44263	60.86809	279.34622	-139.51869	1.9650578	2.8773444	69.31529	-11.777182	-183.97556	82.47795	1850.2582490444183
14	830.17126	508.40564	1521.902	171.65631	1022.4671	1.8223076	1024.8768	1018.9196	468.25	1000.0	55999	176.48192	55.278625	267.08328	-210.6927	176.4835	55.267788	272.69604	-114.14577	1.6234322	2.7496078	53.489307	-10.748104	-178.54884	73.645874	2017.755380153656
15	871.1044	520.9042	1773.4215	170.19241	1271.2465	386.94247	2226.602	939.88495	489.75	464.3	59999	172.8261	50.36768	267.2968	-137.78186	172.8269	50.354088	267.58768	-123.641	1.4132758	2.622551	37.41532	-11.341718	-174.6275	65.46756	2180.366814136505
16	1858.644	906.7289	2926.0632	592.80396	437.09268	81.70487	600.3334	380.7285	744.6667	155.4	63999	171.78355	48.424496	257.21667	-141.35661	171.78545	48.41147	255.5461	-108.92242	1.3641703	2.5294392	36.379242	-14.968447	-173.53397	57.974636	2329.4904453754425
17	873.78094	460.97073	1955.8073	181.7779	1948.1113	490.44016	2661.6104	1194.3855	288.91666	684.2	67999	176.17984	48.880775	246.09555	-146.39294	176.18036	48.87804	247.3103	-124.60092	1.499382	2.5467484	45.309177	-16.163675	-178.01385	55.044952	2487.3161220550537
18	2532.5525	84.76924	2670.472	2439.1064	1224.7867	483.2066	2657.4536	886.6369	976.75	412.5	71999	180.97334	49.806343	248.15051	-135.5474	180.97342	49.804283	248.42448	-140.25516	1.3665427	2.5386693	43.445717	-11.228743	-182.69896	52.266117	2638.0036568641663
19	2207.866	614.98206	2759.2844	1150.1506	1155.1843	190.99757	1702.8322	1036.504	807.0	404.0	75999	183.43497	49.5295	248.13008	-178.57375	183.43494	49.53156	248.22633	-124.143936	1.1192564	2.4979398	51.763577	-12.201337	-184.97948	45.467953	2802.2952365875244
20	1377.6233	644.8164	2768.1724	301.3135	1259.4792	819.3072	2896.8513	810.0976	468.0	436.6	79999	185.36987	49.172405	250.25995	-121.1311	185.36925	49.173065	251.0382	-116.584175	1.0872055	2.4923158	39.296097	-13.645153	-186.84425	45.618656	2955.5707857608795
