Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	26.45593	24.9951	206.12396	8.306623	33.092438	0.059630845	0.16498044	0.47155163	-0.36402783	4000	-4.0978193e-08	577.6177	0.028810099	-335.679	0.9189387	0.11397294	0.6275	1.0	9.64320182800293
1	129.07788	64.20068	255.6612	16.866817	80.74468	25.64546	5.9432745	30.809288	-6.4824257	8000	-2.4214387e-08	2504.538	0.035101082	-1412.9371	0.9186385	0.0824893	0.57299995	1.0	19.013412714004517
2	108.38577	42.417324	226.74043	53.976936	60.809525	62.741085	1.8666991	63.12997	30.563908	12000	1.8626451e-09	972.266	0.016502272	-41.679596	0.9184238	0.044613536	0.45174998	1.0	28.62011170387268
3	149.74355	52.88059	230.42047	58.017933	73.169815	57.494648	0.043250076	57.50726	56.612923	16000	-2.7939677e-08	1607.4834	0.02147999	-272.12097	0.9182735	0.06337339	0.51075	1.0	40.86485409736633
4	151.23982	73.02741	221.33861	12.90915	72.245285	74.33894	0.029969525	74.34522	73.20899	20000	-2.6077032e-08	1754.6293	0.00095294416	-33.13318	0.91814524	0.01766898	0.2085	1.0	51.681159019470215
5	172.20464	63.60717	225.8751	25.143549	79.583336	80.20763	0.017058253	80.21188	79.807625	24000	-1.21071935e-08	1634.0205	0.005659111	-24.407135	0.918075	0.027087018	0.31725	2.0	60.17403054237366
6	209.55574	19.970568	224.27753	96.96651	92.875	85.21207	0.011285995	85.21484	85.01275	28000	-2.3283064e-10	1599.8756	-0.01325462	-86.94586	0.91783714	0.0057855346	0.0845	79.0	75.44717979431152
7	206.63557	29.6028	223.76416	43.702415	91.47619	94.60422	0.017392091	94.60692	93.95115	32000	5.5879354e-09	1501.8281	-0.014426548	-3.2738037	0.9164281	0.008891581	0.093	79.0	90.60688352584839
8	214.84319	12.657501	227.15393	142.14003	94.3	92.80964	0.010024431	92.81152	92.48195	36000	1.6880222e-09	1504.2742	0.0032895412	-5.7963257	0.9206037	0.015920727	0.251	6.0	98.70158863067627
9	210.10983	15.388444	231.5948	157.78775	92.2	95.19394	0.006944512	95.19528	95.004585	40000	-3.7252903e-09	1560.2439	-0.012571595	-0.78414917	0.92108846	0.006090999	0.07925	79.0	112.37303757667542
10	213.6567	7.5421605	223.4667	178.21732	93.3	96.05983	0.0138862785	96.06133	95.511185	44000	9.34233e-09	1476.2753	-0.012156128	-0.0284729	0.92180973	0.0045289584	0.06925	79.0	126.3230333328247
11	212.68352	8.995989	223.29062	170.77528	92.95	95.959076	0.0037024058	95.95995	95.8827	48000	2.8230716e-08	1510.6315	-0.0043743122	-0.016540527	0.9146755	0.016537044	0.13625	5.0	134.01268362998962
12	214.44589	9.472403	225.0917	167.21161	93.725	96.0493	0.004708014	96.05022	95.882965	52000	1.9557774e-08	1490.8015	-0.016158093	-0.04058838	0.9146698	0.008324726	0.095750004	79.0	147.64072513580322
13	214.75041	4.3639054	222.9812	197.67249	93.8	95.874	0.0036568078	95.87472	95.74419	56000	-3.6670826e-09	1471.832	0.0039494997	-0.026367188	0.9130148	0.016815161	0.21149999	2.0	154.67880702018738
14	213.18774	8.546796	222.73929	176.16779	93.0	95.734436	0.0027345682	95.73501	95.67855	60000	6.170012e-09	1505.8896	-0.015290562	-0.29330444	0.9130118	0.006868704	0.12275	79.0	168.01118993759155
15	211.65366	15.032368	230.61636	145.27446	92.65	96.266365	0.0027995761	96.26692	96.19054	64000	-8.178176e-09	1544.5481	-0.01556428	-0.0077819824	0.90994084	0.01109626	0.1105	79.0	181.12082195281982
16	217.63391	6.305502	227.27412	200.73357	94.825	96.20716	0.0032318544	96.20764	96.10233	68000	-2.5902409e-08	1471.4404	-0.01657237	-0.36791992	0.9189072	0.007417289	0.11	79.0	193.12244200706482
17	213.94405	11.6938	227.32388	184.62636	93.525	95.60383	0.0026074625	95.60427	95.51426	72000	-2.1536835e-08	1486.4962	-0.00534611	-0.03161621	0.9209292	0.017555667	0.14475	1.0	199.56071949005127
18	219.5115	6.4830837	229.94308	192.1102	95.85	95.77375	0.006877889	95.77431	95.5111	76000	1.2136297e-08	1476.0103	-0.017078709	-0.17025757	0.9209335	0.0067620035	0.106000006	79.0	211.77832961082458
19	218.51758	4.043757	226.24017	207.09738	95.175	95.36453	0.002638534	95.364876	95.25169	80000	6.4173946e-09	1467.9229	-0.019258922	-0.061645508	0.9075672	0.009779791	0.11125	79.0	223.43455123901367
