Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	26.448141	24.94141	204.37889	7.9620366	32.891666	0.056494698	0.16391112	0.47240818	-0.39322537	4000	-4.284084e-08	579.4831	0.026404247	-338.26758	0.9189387	0.11698377	0.6425	1.0	9.944516658782959
1	133.32303	65.9114	282.99432	20.682411	87.48889	24.892551	6.327487	30.459229	-5.500877	8000	-1.1175871e-08	2754.1963	0.022215908	-1563.1512	0.91883844	0.06910314	0.533	1.0	20.7025249004364
2	118.48007	45.93209	251.33186	50.564262	66.18644	63.719666	1.4091564	63.88749	26.281317	12000	1.3038516e-08	1039.2603	0.01576963	-10.369919	0.91871905	0.048146717	0.45075	1.0	31.111099004745483
3	159.54239	50.45238	245.22455	72.03892	77.06	61.191574	0.054078035	61.20611	59.31903	16000	4.0978193e-08	1623.2725	0.022587273	-252.50845	0.9185702	0.05670622	0.49175	1.0	41.540794372558594
4	189.58066	56.822807	232.54814	14.984403	86.818184	77.40047	0.024438385	77.40594	76.8006	20000	1.6763806e-08	1748.6157	0.0054631825	-133.92245	0.91846925	0.015027019	0.184	1.0	52.134795904159546
5	196.06271	45.353027	228.50594	52.461483	89.57143	89.22529	0.013659927	89.228836	88.92706	24000	-5.5879354e-09	1581.4104	0.005372522	-0.85806274	0.91844857	0.017189432	0.2055	2.0	62.844016313552856
6	210.5501	18.384472	224.87938	115.372284	95.05	90.14134	0.009094799	90.14352	90.01737	28000	-4.656613e-09	1440.6498	-0.016530307	-1.9732971	0.9183163	0.006883349	0.1195	79.0	84.98973274230957
7	213.75537	13.518419	227.50687	139.89906	95.925	91.54953	0.013207062	91.55145	91.1019	32000	1.9790605e-08	1453.7416	-0.012280418	-0.52386475	0.91131103	0.0075148344	0.1035	79.0	103.51586818695068
8	217.33394	5.8002257	227.71169	204.86104	97.675	92.259834	0.0093586035	92.26134	91.92168	36000	-3.958121e-09	1470.2119	-0.016160067	-0.019744873	0.91875166	0.009471167	0.11575	79.0	122.86980700492859
9	212.60417	14.014551	229.28714	156.09142	96.175	92.30564	0.01781586	92.30706	91.26335	40000	1.1641532e-09	1434.7836	-0.01622488	-0.97869873	0.9269389	0.0055542383	0.10475	79.0	141.9283468723297
10	216.477	6.307318	226.66922	191.94354	97.225	91.333755	0.0065457365	91.334816	91.05996	44000	-4.656613e-09	1457.4203	0.007728588	-0.6880188	0.91312116	0.022328995	0.26825	10.0	152.90135884284973
11	216.60703	5.2658234	227.46379	205.51105	96.225	92.14515	0.009349088	92.14623	91.77624	48000	5.355105e-09	1447.8519	-0.01400557	-0.88497925	0.91183	0.0038395212	0.0905	79.0	171.49701189994812
12	216.86304	4.6431866	226.1529	206.85356	96.375	93.065346	0.004901701	93.06608	92.846924	52000	3.0267984e-09	1448.7734	-0.013045568	-0.011352539	0.90695876	0.0058371965	0.10349999	79.0	189.8231177330017
13	213.60698	5.1803737	223.62556	200.4485	94.925	93.135735	0.004131073	93.136406	92.98554	56000	-5.005859e-09	1416.1992	0.005963599	-0.04623413	0.89828897	0.016181007	0.22825	15.0	200.9826683998108
14	214.65532	5.6183314	231.42014	200.29498	94.9	92.93613	0.024283463	92.93724	91.453	60000	-1.0477379e-09	1424.1738	-0.01602238	-0.46621704	0.8950077	0.0069268746	0.12775001	79.0	219.90358877182007
15	215.82051	5.406046	227.75887	206.32642	95.35	93.5991	0.0023792034	93.59955	93.54845	64000	1.0011718e-08	1426.2908	-0.013640778	-0.0087890625	0.88321835	0.004855659	0.07725	79.0	236.83121585845947
16	215.89761	6.780457	230.78203	202.91542	95.525	93.67548	0.0059749912	93.67606	93.34587	68000	2.2118911e-09	1437.6985	-0.018034099	-0.010528564	0.8974765	0.007411175	0.10375	79.0	253.83062100410461
17	218.70537	6.506035	237.12178	205.37253	96.5	93.593956	0.0022582798	93.59436	93.539566	72000	2.188608e-08	1464.8141	0.0011271987	-0.14968872	0.89744556	0.016203564	0.17175	2.0	262.6148452758789
18	219.378	7.72257	254.67807	206.92502	97.65	93.97731	0.0021259896	93.97767	93.91275	76000	-1.9499566e-09	1485.5294	-0.016833726	-0.49865723	0.8974988	0.0070588957	0.12275001	79.0	278.85932636260986
19	217.04932	6.4682574	232.66692	205.12962	96.225	93.269066	0.0026912305	93.269455	93.18567	80000	1.3969839e-09	1448.292	-0.018829394	-0.004852295	0.8926162	0.009979542	0.114	79.0	295.46542501449585
