Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	56.89241	17.060942	129.11452	26.924307	270.354	98.12983	475.31454	157.00647	6.255086	29.1	3999	37.73221	29.464134	132.3343	-0.23323351	37.733097	29.46138	132.84361	-0.33241668	0.94371355	1.521556	6.608884	-8.197103	-43.483376	4.711222	79.87329053878784
2	57.778214	18.231462	147.08403	26.841015	397.41336	103.62316	661.88745	279.00208	6.350794	42.7	7999	83.53079	82.079384	324.82028	2.499709	83.52998	82.080444	324.50778	2.2993777	2.0203955	1.9100013	9.01573	-11.64324	-110.866196	12.153711	199.38055086135864
3	100.04136	113.86265	661.91235	35.497375	287.72028	52.26423	362.41495	185.17436	10.877049	31.0	11999	141.61671	154.72542	491.5679	-5.00627	141.61665	154.73582	492.9478	0.017988313	2.3491318	2.0591981	10.611902	-8.678816	-191.82947	32.538376	317.6411728858948
4	511.7553	180.3723	1092.9279	194.59131	774.78424	301.10776	1336.4985	306.55295	54.916668	83.0	15999	200.76505	205.52722	629.0233	0.8429667	200.76562	205.5351	618.8112	0.038315095	2.4285493	1.8991337	13.337221	-13.850912	-252.17723	74.323074	441.35603427886963
5	2603.3362	2822.8992	9355.327	699.52747	9320.841	25.03486	9359.305	9303.937	278.57144	1000.0	19999	254.18364	246.96933	735.39905	2.9864938	254.18306	246.96829	742.2791	3.3438916	2.441941	1.8148704	13.482262	-9.098129	-304.2467	104.80483	590.9088997840881
6	6461.807	3107.547	9356.004	1231.052	9328.994	1.516781	9330.72	9326.238	692.6667	1000.0	23999	338.1021	293.3007	784.92926	-0.69907093	338.10025	293.30984	784.7206	2.7812397	2.44574	1.7545899	15.370409	-8.790264	-384.9561	121.80203	734.702746629715
7	9333.653	6.071558	9340.7295	9324.378	9324.199	1.5877675	9327.425	9321.58	1000.0	1000.0	27999	421.1903	320.65103	800.4102	0.14561915	421.19095	320.65042	805.3066	4.3476195	2.321153	1.7328447	16.702623	-9.56652	-464.08875	118.60198	888.5133202075958
8	9331.22	10.283395	9348.177	9320.613	9358.993	0.17533037	9359.269	9358.635	1000.0	1000.0	31999	484.68793	330.24228	831.56305	1.1446023	484.6867	330.24344	845.5592	3.9057755	2.2469788	1.6704968	16.417488	-11.259499	-522.7316	123.32592	1046.1919360160828
9	9340.316	2.9002304	9343.205	9336.626	9325.382	0.7675541	9327.412	9324.588	1000.0	1000.0	35999	537.7094	335.5682	862.3043	2.2144525	537.7092	335.56906	856.355	3.776355	2.1744509	1.6269029	17.363865	-8.123357	-573.1705	133.62665	1195.5542602539062
10	9352.424	9.190682	9357.889	9336.507	9357.559	0.27768946	9358.17	9357.283	1000.0	1000.0	39999	578.734	337.385	882.96533	1.8039321	578.7342	337.37927	884.1313	4.611651	2.1462255	1.5805267	19.023249	-9.077179	-610.9716	134.51154	1355.1260778903961
