Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	58.98043	17.36437	147.90868	26.97422	6.478896	-0.01848497	0.06286753	0.17417718	-0.16839336	4000	1.5459955e-07	1674.242	0.077255785	-1350.2494	0.91893846	0.3646745	0.64524996	1.0	6.498640298843384
1	81.262566	23.788845	194.10902	36.035397	8.870536	32.40934	7.030479	35.803013	-3.2801282	8000	4.1909516e-09	863.8972	0.061679315	-544.2071	0.9186385	0.23915127	0.60225	1.0	13.21791410446167
2	94.78866	26.132109	258.7098	54.557953	10.30491	42.930107	16.702404	59.4536	6.012331	12000	4.0978193e-08	546.07385	0.042246528	-270.36414	0.91833884	0.14493491	0.52225	1.0	19.35272717475891
3	100.41538	27.441952	212.91042	54.47623	10.906849	50.60104	23.62512	77.277534	5.4079456	16000	1.8626451e-09	303.07166	0.044064652	-99.24726	0.91803914	0.099449165	0.46825	1.0	26.146812677383423
4	99.982925	27.92946	231.37836	54.87703	10.860656	53.953777	27.890018	88.62439	5.8232107	20000	1.8626451e-09	235.79907	0.025113553	-31.610018	0.91773814	0.06791888	0.425	1.0	32.56165099143982
5	102.80646	28.484383	231.12563	64.00502	11.162465	55.570755	29.366468	94.48052	6.605081	24000	-1.8626451e-09	203.48502	0.021392893	-20.333658	0.9174375	0.044944577	0.36375	1.0	39.01097226142883
6	102.097176	27.003843	231.46892	63.791664	11.092178	56.273598	30.361391	99.2492	5.448439	28000	0.0	210.94438	0.010402846	-15.238726	0.91714656	0.028174944	0.28	1.0	45.52741765975952
7	99.600296	25.556704	220.77971	63.885582	10.817935	55.896618	30.437296	101.10073	6.51174	32000	-9.313226e-09	156.58162	0.0011662608	-9.991175	0.91687196	0.017800916	0.20574999	1.0	51.7402138710022
8	102.92318	26.985657	240.59564	63.756023	11.176967	56.07182	30.068903	102.039825	1.4424351	36000	-2.7939677e-09	162.2995	-0.003087555	-14.4989605	0.9166014	0.016331848	0.16825	1.0	58.43135452270508
9	99.24268	22.955812	241.05797	63.94162	10.779891	54.95754	30.533125	104.06826	5.817525	40000	-1.8626451e-09	117.9274	0.00026959414	-6.538828	0.9163389	0.041980516	0.29474998	2.0	64.49780488014221
10	103.86916	27.023623	210.26373	63.855026	11.284091	55.507767	29.700176	102.865395	-2.6982327	44000	6.519258e-09	183.59021	-0.0016117159	-32.609222	0.91580766	0.04232963	0.2935	2.0	71.33226084709167
11	107.797874	30.828856	238.7674	63.673447	11.705882	58.072594	30.738806	106.84056	4.9528437	48000	5.5879354e-09	249.975	-0.00380294	-25.071926	0.9152763	0.03546986	0.28275	2.0	77.439523935318
12	109.33651	30.610462	229.6257	64.02842	11.877612	59.64199	32.111046	110.30065	5.3945446	52000	-3.259629e-09	243.97733	-0.0037854784	-19.552975	0.91474164	0.029301403	0.2555	2.0	84.64556527137756
13	113.14089	35.79081	268.01215	63.9861	12.285714	62.0976	32.640667	112.5435	4.834932	56000	-1.1175871e-08	366.63257	-0.001865542	-37.45231	0.9142067	0.03156144	0.311	2.0	91.64272212982178
14	120.7636	44.039986	268.82986	63.924725	13.118812	64.61908	33.25161	117.081665	4.1542077	60000	1.5832484e-08	623.2251	0.0002873065	-87.72943	0.91364753	0.0334524	0.29575	2.0	98.49742531776428
15	124.25885	47.879444	296.28317	63.992107	13.501706	69.54842	36.14259	124.31119	3.0683043	64000	-5.5879354e-09	745.0539	-0.0024182273	-59.759796	0.9130688	0.030716741	0.23175001	2.0	105.48359799385071
16	130.53215	46.376293	285.3053	63.87856	14.196428	73.03835	37.491737	128.74226	1.8321099	68000	9.313226e-09	699.17664	-0.00067836535	-57.29158	0.9124765	0.0152990455	0.24599999	2.0	112.10110926628113
17	132.3931	48.215782	294.58884	64.0084	14.387681	75.61506	37.259132	131.35356	2.8509445	72000	2.7939677e-09	664.3441	-0.0014242856	-66.49788	0.9118633	0.015780818	0.1955	2.0	119.4413366317749
18	132.299	48.370354	267.44562	64.043365	14.387681	76.16247	39.293545	136.70274	-1.9064819	76000	9.313226e-09	651.7619	-0.011856655	-61.567017	0.91123873	0.015518747	0.14750001	9.0	128.61067628860474
19	142.55135	49.80795	286.0809	63.71032	15.4980545	75.59766	38.434246	138.49695	-8.963656	80000	6.9849193e-09	798.1216	-0.012919622	-93.61301	0.908308	0.016047727	0.144	11.0	137.00018882751465
