Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	60.270645	17.802996	147.64279	35.527042	6.616915	-0.020230347	0.06272216	0.17910022	-0.16649342	4000	9.685755e-08	1738.2812	0.07921514	-1393.2638	0.91893846	0.34525457	0.63825	1.0	10.503321170806885
1	80.82886	25.860256	203.71268	35.70662	8.820796	32.655735	6.8285913	35.928394	-1.3436029	8000	2.7939677e-08	937.92303	0.0679802	-559.5666	0.9186385	0.22513722	0.59275	1.0	20.66538906097412
2	93.42353	25.120003	212.56622	54.30847	10.155612	43.06856	16.590557	59.61015	6.080998	12000	2.0489097e-08	503.65704	0.050151356	-248.23738	0.9183419	0.14531483	0.51725	1.0	31.166956424713135
3	102.80831	31.241812	249.86171	63.702644	11.162921	51.084	23.116846	76.50718	6.22228	16000	-1.8626451e-09	437.80292	0.04437703	-152.20709	0.9180431	0.09153372	0.481	1.0	42.528358697891235
4	102.37949	27.437737	240.05223	63.70994	11.117318	55.640556	28.748632	90.32038	2.9479575	20000	4.656613e-10	219.26779	0.030486586	-28.00343	0.91774654	0.07101988	0.43150002	1.0	54.58550977706909
5	100.61656	26.196934	211.70872	63.856594	10.928572	55.33408	29.551117	95.10066	5.345749	24000	-1.1641532e-08	169.88058	0.022577299	-14.764862	0.9174535	0.04520301	0.36675	1.0	66.58619093894958
6	100.6931	27.295738	250.22906	63.87987	10.939561	55.04367	29.670803	97.46336	3.8638158	28000	2.7939677e-09	200.32283	0.00820956	-12.1386795	0.9171592	0.018796287	0.27325	1.0	79.3628740310669
7	102.24311	26.20968	222.48204	63.846092	11.1027775	56.260506	30.071835	99.541435	6.4245434	32000	3.7252903e-09	161.48407	0.0023753182	-8.504375	0.91687196	0.041213248	0.30325	2.0	91.87216210365295
8	102.02797	27.478788	220.01729	63.85938	11.084034	55.789227	30.56451	101.05175	3.4739413	36000	-3.7252903e-09	193.74994	-0.003628063	-12.094595	0.9163324	0.03768193	0.281	2.0	103.89184999465942
9	103.49726	31.311808	239.94873	63.963337	11.245763	57.102585	30.412544	102.954414	6.2209635	40000	-1.2572855e-08	256.74756	-0.00757551	-16.62828	0.9157899	0.017579453	0.16325	1.0	115.8400285243988
10	106.399864	29.988686	277.662	64.007225	11.553936	58.884624	31.818378	105.399254	2.389515	44000	1.6763806e-08	244.41322	0.0030643353	-18.869736	0.9155185	0.024646718	0.30525002	2.0	128.30011010169983
11	110.819626	31.802158	230.62448	64.09612	12.039275	59.37803	31.532875	108.71706	4.37066	48000	-1.3969839e-08	278.00745	-0.0026015127	-31.378738	0.9149859	0.038301118	0.3175	2.0	139.87942171096802
12	111.30634	34.022533	286.37955	64.03151	12.090909	61.17453	32.79133	111.5824	5.22822	52000	1.8626451e-08	350.9598	-0.007963647	-34.757793	0.91445225	0.01685964	0.19075	1.0	152.8801395893097
13	118.06506	41.79623	305.50473	63.589775	12.81877	64.75009	33.343044	114.91822	4.202117	56000	1.0535587e-08	565.6362	-0.0027131871	-71.7491	0.91418755	0.020022746	0.23500001	1.0	166.7452676296234
14	118.82952	41.603767	286.44635	64.06856	12.905844	67.227806	36.16772	121.80567	4.8738184	60000	2.4214387e-08	485.41272	0.00021183607	-35.6128	0.91392523	0.031952098	0.321	1.0	181.47323441505432
15	124.288	49.18383	284.008	63.902256	13.5	68.39758	36.030262	122.819305	0.055244118	64000	1.7695129e-08	765.74023	0.0114926705	-71.91861	0.9136583	0.03292888	0.30525	1.0	197.46658897399902
16	129.66609	47.15536	276.3699	63.704575	14.085409	74.81335	38.080193	129.87509	2.763463	68000	-1.4901161e-08	699.9239	0.012773938	-72.5853	0.9133834	0.032602362	0.30725	1.0	207.29655504226685
17	126.29071	49.580696	314.31158	63.281326	13.733564	72.99308	37.63723	132.7254	-3.7697031	72000	3.7252903e-09	812.76514	0.010693736	-75.71304	0.91309756	0.01726342	0.21599999	1.0	216.13526225090027
18	125.73191	44.050076	285.66437	63.138992	13.682758	74.12365	38.10641	135.16689	-0.8136067	76000	-1.8626451e-08	623.04956	-0.0039295214	-73.094185	0.9127998	0.017423175	0.151	3.0	224.83607387542725
19	127.86774	45.701206	287.01965	63.430504	13.919298	71.31473	36.735622	134.99962	-2.5681808	80000	1.8626451e-08	670.16296	-0.0006560527	-60.06845	0.9118384	0.017224316	0.18325	1.0	233.51076674461365
