Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	6.0885496	3.4642918	31.0	3.0	56.8	2.7856777	59.0	51.0	6.0885496	56.8	3999	6.6155877	4.6388702	18.01009	-4.5145974	6.615776	4.639513	18.275139	-3.0921037	0.19247799	1.176024	10.344059	-9.165712	-7.781673	0.9305859	82.11059832572937
2	6.0911856	3.458949	26.0	3.0	30.5	0.5	31.0	30.0	6.0911856	30.5	7999	18.31622	10.196171	39.99967	-10.6406765	18.316595	10.191057	40.06398	-9.371622	0.3256452	1.3766385	11.332443	-11.156678	-21.982487	3.4845536	226.21633863449097
3	10.155216	10.703681	45.0	3.0	34.3	0.64031243	35.0	33.0	10.155216	34.3	11999	33.285934	18.903938	124.97234	-12.551609	33.285217	18.89818	118.61827	-10.947803	1.0247267	1.4572043	19.261518	-8.727141	-40.196808	12.463156	403.3779630661011
4	37.773197	22.741718	250.0	30.0	1000.0	0.0	1000.0	1000.0	37.773197	1000.0	15999	51.127956	28.80888	84.36653	-20.636707	51.127876	28.795124	83.41728	-17.278433	1.2001016	1.4835987	18.226406	-9.034542	-59.713192	15.095539	601.8816475868225
5	694.8333	272.6178	1000.0	311.0	1000.0	0.0	1000.0	1000.0	694.8333	1000.0	19999	53.51856	31.166788	84.396645	-24.803171	53.518845	31.161053	85.97794	-22.249245	0.7674618	1.5410421	50.63076	-10.130228	-60.820656	10.677861	851.7427139282227
6	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	23999	60.26429	30.69276	94.75649	-36.470604	60.264477	30.687027	94.34068	-24.76357	0.759183	1.5346471	15.974485	-10.661629	-66.56677	9.2800665	1103.432460308075
7	724.2	380.9506	1000.0	32.0	1000.0	0.0	1000.0	1000.0	724.2	1000.0	27999	66.809906	30.809467	93.57597	-32.09406	66.809814	30.805046	94.84374	-23.300335	0.5301804	1.4726744	18.650236	-11.861816	-72.3132	9.552941	1411.2449927330017
8	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	31999	71.09075	29.968172	96.32697	-29.490103	71.09055	29.964148	96.31066	-19.648893	0.3395248	1.368153	21.7103	-11.507307	-75.931175	9.891074	1759.2878580093384
9	910.2	179.6	1000.0	551.0	201.6	0.48989794	202.0	201.0	910.2	201.6	35999	74.30354	29.083012	95.516304	-34.821854	74.30398	29.076801	96.77987	-24.331196	0.2871025	1.315555	16.631111	-8.339814	-78.6555	8.886445	2048.426302433014
10	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	39999	76.60255	28.398142	95.96246	-31.9278	76.60229	28.395758	98.80652	-25.576021	0.22241892	1.2567347	16.10435	-9.204209	-80.51828	8.655234	2252.1498250961304
11	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	43999	79.32052	27.238613	99.954605	-27.770298	79.32033	27.235641	103.84603	-27.470432	0.14307219	1.2177337	24.896503	-9.1337385	-82.977875	8.226594	2402.7591001987457
