Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.05303	5.429969	40.0	4.0	10.05303	-0.08209409	0.022821574	0.019490764	-0.14852762	4000	8.195639e-08	70.74021	-0.0021540755	-51.886612	0.91893846	0.07236177	0.37725002	1.0	6.211255311965942
1	13.602739	7.599549	47.0	4.0	13.602739	7.141906	2.2809658	9.689801	0.51448864	8000	7.450581e-09	39.280647	-0.015913922	-9.435453	0.9186385	0.049359865	0.33575	1.0	11.983027935028076
2	20.194872	10.749501	83.0	6.0	20.194872	9.132533	3.0218296	12.330401	0.57261103	12000	-3.7252903e-09	69.65295	-0.007975012	-20.314232	0.9183397	0.031466685	0.25825	1.0	17.799282789230347
3	24.91195	11.55266	89.0	7.0	24.91195	12.393084	5.2348723	21.054699	0.6758843	16000	-1.1175871e-08	55.43695	-0.006645486	-5.873829	0.918045	0.027311686	0.231	1.0	23.563479900360107
4	31.512	14.900532	77.0	9.0	31.512	13.87828	6.314465	21.519068	0.88312995	20000	-1.6065314e-08	84.44897	-0.0049133925	-18.769203	0.9177579	0.020879712	0.19275	1.0	29.321539402008057
5	38.186275	18.762568	114.0	10.0	38.186275	17.322243	7.746775	26.229828	0.25402755	24000	7.450581e-09	100.9405	-0.0055420497	-17.690737	0.9174746	0.019986883	0.19500001	1.0	35.10122513771057
6	42.373627	15.304706	95.0	20.0	42.373627	20.346903	10.034986	31.584307	1.1138068	28000	7.450581e-09	73.6864	-0.0080659045	-7.049342	0.91719824	0.015018397	0.15875	1.0	40.79779362678528
7	49.012657	21.956512	117.0	12.0	49.012657	20.85486	9.766465	34.58972	1.9127114	32000	-3.7252903e-09	103.34203	-0.0049175126	-27.578115	0.9169321	0.01601251	0.1735	1.0	46.73421549797058
8	60.6	28.25042	162.0	22.0	60.6	24.65672	11.999003	39.312267	2.610188	36000	-3.3527613e-08	131.43097	0.003478514	-33.319008	0.9166811	0.04640351	0.31800002	2.0	52.799219846725464
9	68.49123	20.453732	137.0	35.0	68.49123	29.224073	14.093555	45.80526	2.2246094	40000	3.7252903e-09	68.18919	-0.0044162483	-13.520867	0.9161815	0.018512996	0.154	1.0	58.737221002578735
10	75.57692	21.135412	136.0	28.0	75.57692	30.554634	14.125693	49.29334	2.4332292	44000	-3.7252903e-09	62.31002	-0.000103432685	-15.370102	0.9159272	0.024060484	0.24225	2.0	65.08813500404358
11	84.71111	29.692965	158.0	45.0	84.71111	30.438993	14.627105	51.363655	1.2553501	48000	7.450581e-09	132.78061	0.0008599241	-50.43386	0.9154589	0.017449763	0.20449999	2.0	70.92616653442383
12	93.439026	36.3855	196.0	44.0	93.439026	36.546772	15.484499	56.848103	1.5218221	52000	5.5879354e-09	129.5561	-0.01150159	-22.296228	0.91497403	0.022182833	0.18349999	4.0	77.85356545448303
13	111.70588	37.799416	230.0	45.0	111.70588	38.873573	16.220102	60.29215	0.46286523	56000	7.450581e-09	211.20705	-0.002383345	-69.196815	0.91392535	0.01637156	0.15525	2.0	85.47492599487305
14	129.63333	39.5866	213.0	64.0	129.63333	41.988705	16.937984	64.555725	0.35176888	60000	-2.7939677e-08	229.67076	-0.0048412383	-101.67236	0.91335785	0.020738892	0.27025	4.0	93.6031141281128
15	131.48276	59.66667	361.0	58.0	131.48276	44.573715	19.212345	68.754845	5.495634	64000	-5.5879354e-09	206.35025	-0.004697104	-79.626045	0.9122574	0.030163426	0.374	3.0	101.41384315490723
16	134.82143	48.054325	250.0	57.0	134.82143	53.01999	18.625957	75.43681	4.575744	68000	-4.656613e-09	179.40147	-0.0035298457	-80.78947	0.9114844	0.016871344	0.26125	4.0	109.4325532913208
17	164.40909	72.088745	342.0	65.0	164.40909	54.668804	16.238367	75.08909	0.40765557	72000	1.7695129e-08	259.4405	-0.013131248	-99.83298	0.91046304	0.006124841	0.08775	79.0	124.22997307777405
18	264.85715	138.6892	689.0	122.0	264.85715	55.091568	19.848808	80.51112	3.6117792	76000	3.3527613e-08	351.63098	-0.0039764494	-209.34322	0.9012648	0.032066595	0.36575	2.0	132.3648247718811
19	182.5	63.523617	380.0	102.0	182.5	67.082726	22.081316	89.56086	9.992336	80000	1.1175871e-08	218.36012	-0.005076887	-85.29303	0.90103227	0.039581344	0.40925	2.0	140.10988235473633
