Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.673171	4.673278	35.0	4.0	9.673171	-0.08141896	0.023071906	0.030974708	-0.17075124	4000	5.5879354e-08	58.56339	-0.0032728203	-45.198402	0.91893846	0.076324806	0.38675	1.0	7.971549034118652
1	13.55862	7.6400723	49.0	4.0	13.55862	6.657252	2.1714096	8.866526	0.5402319	8000	-2.2351742e-08	44.43896	-0.018081665	-11.49815	0.9186385	0.0512275	0.33275	1.0	16.47191572189331
2	18.439253	9.47518	59.0	5.0	18.439253	9.050859	3.0184941	12.368135	0.44667792	12000	1.2805685e-08	49.33417	-0.010549948	-13.2688265	0.9183387	0.03826823	0.26975	1.0	24.659101009368896
3	25.882353	12.511402	80.0	8.0	25.882353	11.301726	5.0880065	17.346384	0.5899078	16000	1.4901161e-08	69.34036	-0.00071087293	-16.485546	0.9180434	0.024789043	0.24275	1.0	34.27019739151001
4	27.54861	11.087925	61.0	9.0	27.54861	14.414741	6.7479715	22.201595	1.2811537	20000	3.7252903e-09	43.483013	-0.010892248	-3.9172044	0.91774654	0.022938777	0.207	1.0	43.27478766441345
5	35.223213	15.487154	82.0	9.0	35.223213	15.303886	6.8891172	23.818554	0.41781095	24000	2.2351742e-08	79.36709	-0.0030610748	-17.79815	0.9174776	0.02562283	0.22175	1.0	53.28094005584717
6	37.740383	15.862992	99.0	12.0	37.740383	17.618933	8.844462	28.592089	1.5075737	28000	-2.3283064e-08	75.43461	-2.7450733e-05	-19.305983	0.9172036	0.03793545	0.30175	2.0	63.45327115058899
7	49.341774	18.100204	112.0	22.0	49.341774	18.67858	9.5851	33.34823	0.99506396	32000	-1.6763806e-08	112.25719	-0.009749828	-43.735886	0.91667473	0.019008595	0.21325	1.0	73.18172144889832
8	55.884056	20.981382	124.0	19.0	55.884056	24.331871	10.866657	37.013412	2.0454633	36000	-1.3038516e-08	85.52825	-0.0041825166	-21.972645	0.91640764	0.027665945	0.24475	2.0	84.91267466545105
9	64.327866	23.471449	134.0	25.0	64.327866	26.248024	12.503851	43.611626	2.5473497	40000	2.9802322e-08	95.508575	-0.013086105	-27.256062	0.91595113	0.023111356	0.21525	1.0	96.72138738632202
10	68.42857	18.092873	118.0	32.0	68.42857	29.6013	13.051388	48.855865	1.4921876	44000	0.0	72.63957	0.0024593393	-28.171194	0.91571444	0.016428933	0.19	2.0	108.72593975067139
11	74.23077	24.53382	133.0	40.0	74.23077	28.85933	14.246402	49.54223	1.7412325	48000	9.313226e-09	97.597046	-0.011262476	-23.299427	0.91521984	0.032808293	0.33775	2.0	120.79774689674377
12	90.39535	25.950886	151.0	43.0	90.39535	33.73244	13.969723	53.203632	0.9525875	52000	-5.5879354e-09	122.60652	0.0037332196	-47.709427	0.9147425	0.018071096	0.1895	2.0	133.15232872962952
13	83.91304	29.064268	150.0	43.0	83.91304	36.046906	16.019669	60.756855	2.304335	56000	1.1175871e-08	132.86203	-0.011529666	-42.2303	0.9142579	0.026096348	0.28825	4.0	144.6774275302887
14	140.88889	63.7619	326.0	47.0	140.88889	38.518837	14.379703	56.727146	1.374407	60000	-1.4901161e-08	474.22852	-0.00438164	-252.3783	0.9133368	0.019125273	0.19975	5.0	156.75044417381287
15	129.51724	55.922123	304.0	53.0	129.51724	46.47097	19.603579	71.55808	-1.3324178	64000	4.656613e-09	260.45544	-0.0037486255	-112.91102	0.9120704	0.018287595	0.277	4.0	168.8044798374176
16	156.60869	78.25195	364.0	66.0	156.60869	55.12261	17.372435	75.65904	1.2787827	68000	-1.4901161e-08	315.86578	-0.012906561	-186.00461	0.9110175	0.010389607	0.102249995	79.0	190.98691153526306
17	242.42857	107.94225	434.0	109.0	242.42857	55.592056	21.160004	87.00194	2.6043549	72000	0.0	330.4956	-0.003291874	-188.02777	0.8978193	0.026514305	0.41125	2.0	204.68029642105103
18	187.95	87.228134	390.0	65.0	187.95	66.36674	22.284424	96.63148	8.601632	76000	-7.450581e-09	289.71063	-0.0061414205	-142.76126	0.89758	0.023138463	0.24425	2.0	219.163076877594
19	284.69232	119.590576	539.0	99.0	284.69232	71.54403	14.717505	90.72498	0.6266997	80000	-7.450581e-09	390.91467	0.0070527215	-101.96572	0.89716697	0.022907007	0.34575	2.0	235.4128623008728
