Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	2.923147	8.013306	68.97109	-9.857948	1018.917	3.5805116	1026.7299	1015.5725	21.196808	1000.0	3999	10.878722	9.424839	50.305496	-9.833604	10.879051	9.4258	50.34975	-9.769054	0.7360945	3.4020011	19.300331	-14.192916	-13.5537	1.8229612	114.4646999835968
2	2.4368584	5.59801	32.778732	-8.082096	981.44763	6.6141324	989.09314	965.92346	21.798914	1000.0	7999	56.769627	24.701454	156.99121	-43.24815	56.768	24.706999	152.83182	-50.05485	4.1401753	4.23867	41.182934	-14.291521	-63.42804	28.911598	263.0922076702118
3	12.685098	54.580452	341.7109	-13.182911	-7.0183983	0.11422931	-6.7358613	-7.1610584	30.473282	17.1	11999	148.07256	47.862377	271.67728	-76.422806	148.07085	47.845203	276.90442	-84.49964	6.9954967	5.904144	78.2741	-13.048259	-160.99072	156.55934	390.64140486717224
4	28.268522	85.495674	334.12405	-37.96587	17.923904	29.582064	66.830956	-20.08718	51.0	159.7	15999	178.72908	48.75714	281.52426	-261.73837	178.7289	48.715214	279.55206	-189.18399	3.624606	5.8857884	88.37097	-12.707465	-187.40875	225.89027	542.0441236495972
5	136.2392	116.77935	330.9414	-94.5883	135.14047	141.65463	501.7292	-24.912588	179.78261	262.0	19999	170.4732	47.049004	297.2156	-88.708954	170.47256	47.021328	295.63174	-120.257286	2.942111	5.1569567	56.326283	-14.6514	-177.45892	142.17143	678.864706993103
6	179.63008	103.94435	392.99774	-26.46244	93.93361	111.574234	265.82144	-60.190277	163.56522	206.7	23999	158.9536	41.22702	295.16714	-167.98662	158.95544	41.169285	293.61835	-152.84592	2.2552404	4.9070415	51.561592	-15.013586	-163.99493	116.89152	816.545835018158
7	146.52048	170.75366	649.1127	-58.860985	45.330376	94.919876	215.80272	-82.13848	222.6842	256.4	27999	141.8995	36.285183	268.22968	-259.98044	141.89954	36.25467	261.2159	-231.60973	1.7117589	4.6874743	62.500267	-12.925104	-145.59702	90.11113	966.7433223724365
8	68.98559	126.45318	462.61472	-82.937355	332.35242	243.87454	959.9855	84.89574	145.92592	304.5	31999	125.79448	33.74022	266.33502	-75.004555	125.79464	33.719273	272.7838	-111.2517	1.4355234	4.6018085	51.055786	-13.93446	-128.7364	77.19117	1120.2534911632538
9	227.31572	159.77962	571.8924	-46.18307	303.15118	195.01112	839.8518	66.92988	200.25	249.2	35999	113.16365	33.360416	254.96413	-77.03175	113.16127	33.35382	247.72818	-81.39867	1.2648932	4.481164	53.698822	-13.497153	-115.67483	70.0365	1271.3793361186981
10	111.830284	127.75156	400.4273	-4.323023	5.853359	11.561471	34.32709	-3.7071064	96.7381	36.4	39999	106.7168	31.51354	237.13849	-72.019356	106.7168	31.50692	230.4773	-68.464096	0.8437915	4.2653155	52.79068	-15.09179	-108.85733	63.58778	1421.8898060321808
11	300.0868	192.47511	716.5484	-25.932587	203.53622	32.950333	241.24797	140.66747	264.46667	107.2	43999	100.67587	30.162354	212.58975	-77.80555	100.67454	30.155334	209.52367	-90.14686	0.70821506	4.1508875	50.576775	-13.718349	-102.66855	49.615017	1585.2192096710205
12	260.26114	92.80798	460.83728	60.68625	280.44598	125.26275	489.90546	74.05273	171.86957	232.1	47999	98.53811	29.23081	209.7132	-73.68213	98.53779	29.221357	209.99915	-74.09186	0.50199497	4.0282273	52.122875	-13.478078	-100.36561	44.749844	1743.9171962738037
13	329.04276	115.93619	522.5338	57.759262	424.6578	13.930496	440.91415	399.72958	200.35	206.9	51999	97.45451	28.789875	209.8329	-81.81635	97.45472	28.780779	207.70018	-83.56913	0.32398188	3.9540422	48.878857	-14.570509	-99.17886	42.426983	1895.1721334457397
14	438.4273	97.64736	601.8676	285.25836	757.85114	227.32999	987.14716	500.0512	249.5625	639.1	55999	98.18153	27.43618	205.62471	-80.9408	98.18357	27.422314	205.994	-80.71484	0.32562745	3.8792396	47.246677	-14.484598	-99.88903	39.041164	2052.154705762863
15	428.1712	68.30289	570.0496	297.14554	633.32117	40.940807	736.76025	575.27625	212.42105	304.3	59999	101.33113	27.567837	221.31746	-68.97939	101.33193	27.554945	216.1596	-76.664635	0.4696319	3.806805	47.825333	-14.631393	-102.96026	35.990566	2211.7935123443604
16	545.1984	252.72763	1114.9657	220.28525	415.4118	26.504705	441.0186	355.49277	391.6	162.6	63999	104.69885	30.433159	232.51114	-85.55993	104.69803	30.434996	231.7284	-141.61082	0.45939872	3.7965696	52.43397	-14.35997	-106.31292	37.337593	2359.1228086948395
17	460.99875	65.6512	610.30475	349.53256	417.28632	47.130306	477.01782	339.21463	222.77777	186.8	67999	108.42717	32.01555	248.69737	-59.882698	108.4279	32.015804	243.57309	-103.7279	0.44633663	3.8543236	50.295956	-12.907416	-109.99054	39.016632	2501.7934579849243
18	347.46777	130.85251	614.5717	67.30266	505.1424	24.927187	542.0305	470.2287	212.63158	234.2	71999	111.71083	32.574375	262.83203	-66.80832	111.71207	32.57017	251.59854	-70.69184	0.45987314	3.8889983	51.722065	-13.734169	-113.25167	39.886616	2648.1254782676697
19	361.6779	79.87764	550.2824	200.70769	525.5675	114.212296	771.84485	362.96045	196.55	326.2	75999	114.74216	33.94754	274.91107	-76.19399	114.74328	33.94517	265.43167	-57.302486	0.47539154	3.8023436	48.922005	-13.095349	-116.23958	40.307312	2816.268639087677
20	433.01086	190.84087	960.65063	78.912384	216.3796	28.393103	289.90576	195.61386	241.0	140.7	79999	117.23828	35.890423	291.11563	-93.104355	117.23789	35.88608	285.05972	-87.20215	0.6062182	3.7106495	48.526142	-16.128983	-118.67125	42.880157	2954.099770307541
