Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.02098548	5.174513	35.976624	-8.612926	18.909952	-0.02385526	0.23937902	0.56029826	-0.53783834	4000	1.1175871e-08	19.161297	0.039483234	-7.87298	0.91893864	0.30144957	0.73275	1.0	6.803897142410278
1	16.276081	12.725134	74.97475	-7.0160537	38.10577	1.5605686	3.3988066	14.792199	-8.001238	8000	3.7252903e-09	129.12384	0.05619298	-74.86835	0.9187384	0.1767002	0.6825	1.0	14.278186082839966
2	50.79166	44.64536	255.43958	4.6788325	72.66038	8.830236	7.7548075	24.86714	-22.494205	12000	-4.0978193e-08	739.5895	0.046758085	-402.06757	0.91854405	0.09633976	0.5955	1.0	21.062174797058105
3	91.97668	72.68957	271.11243	-8.942837	112.588234	23.646198	20.45443	59.326904	-40.476883	16000	-1.6298145e-08	885.0054	0.032612234	-398.19812	0.9183499	0.060231335	0.481	1.0	27.331178188323975
4	116.181885	81.89196	290.89874	6.649658	138.28572	34.58389	29.030535	74.315445	-34.351337	20000	-1.1175871e-08	964.9113	0.017962245	-409.83795	0.91813767	0.042354096	0.4545	1.0	33.518927574157715
5	123.504974	98.79882	307.46466	-8.28084	144.23077	44.7476	34.14809	87.96632	-38.794403	24000	7.916242e-09	680.7146	0.017132498	-310.53113	0.9179607	0.03922995	0.41425	1.0	39.67646360397339
6	181.45728	83.51184	313.18594	20.247446	149.875	63.528255	31.899616	98.37855	-19.456476	28000	-2.7939677e-09	821.5107	0.011674432	-452.86926	0.9178402	0.02266705	0.34175	1.0	45.836334228515625
7	183.75775	67.502945	273.28696	29.469112	149.84	65.840256	37.869072	106.15424	-24.061842	32000	-1.4901161e-08	704.8948	0.0034933519	-336.26508	0.9177139	0.019892132	0.257	1.0	52.795570373535156
8	186.08641	89.3765	300.99252	-20.988962	158.75	63.390804	32.702217	99.40205	-15.788632	36000	-1.1175871e-08	672.03906	0.0033833403	-303.6438	0.9176235	0.020774748	0.289	1.0	60.77118515968323
9	190.1618	88.66576	358.97964	10.896338	162.77272	68.8648	39.146854	105.52296	-32.18177	40000	6.2864274e-09	534.0969	0.0024307324	-243.73827	0.9175185	0.01836567	0.259	1.0	69.45280933380127
10	217.75027	87.57386	356.06763	9.095879	151.88	75.4913	31.084358	104.43433	-22.776598	44000	-1.4901161e-08	510.52536	0.0042501222	-264.90448	0.91742593	0.016621437	0.24725	1.0	77.86170482635498
11	211.99165	74.13573	320.80103	14.615057	152.5	81.03117	34.552193	111.53298	-24.82652	48000	5.5879354e-09	434.20377	0.0020410153	-261.8142	0.91734123	0.02065989	0.32999998	2.0	84.80169415473938
12	183.42918	89.903534	304.2844	12.170607	165.31818	69.93552	41.106884	109.32862	-20.28024	52000	-1.8626451e-09	650.7555	-0.004223276	-314.8339	0.91714174	0.024635755	0.291	2.0	91.84978199005127
13	208.39331	34.36511	273.6629	88.10148	130.17857	76.23385	28.966915	106.988785	-10.295091	56000	-1.4901161e-08	274.99915	-0.0015368443	-157.44	0.91687405	0.021452848	0.28825003	2.0	99.02226901054382
14	215.28172	44.117207	305.26764	86.44982	137.55556	80.89494	30.252644	109.52327	-5.4536214	60000	0.0	224.40973	-0.0030924906	-138.8724	0.9166112	0.023823889	0.337	2.0	107.32037782669067
15	235.24559	32.765545	293.42868	176.99432	142.88461	90.19234	27.210653	112.57032	18.250967	64000	1.4901161e-08	124.49239	-0.002232306	-65.564865	0.9163654	0.015534465	0.28775	2.0	115.38015604019165
16	230.93553	31.099918	303.69818	154.75894	135.21428	88.369156	28.879492	110.29205	11.51337	68000	-1.8626451e-08	106.15872	-0.0057163443	-45.717773	0.9161185	0.019985959	0.316	3.0	125.11355423927307
17	268.57584	46.32302	427.65286	213.58812	164.17392	92.98817	26.42907	112.926575	14.045036	72000	-3.7252903e-09	101.77217	-0.011182664	-56.645454	0.9156559	0.01764962	0.2375	5.0	134.78345704078674
18	263.97543	58.753464	414.69598	85.261955	158.54167	96.2329	29.527605	116.35925	-2.883987	76000	1.4901161e-08	274.19006	-0.0028771274	-122.95324	0.9149333	0.017464489	0.254	2.0	144.47372102737427
19	252.2044	35.2982	314.79684	188.42966	147.0	98.931175	29.18936	120.88017	11.956978	80000	-1.8626451e-08	189.85277	-0.0028915815	-69.83787	0.9146595	0.017657293	0.26025	2.0	156.90828347206116
