Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.1742669	4.963884	23.405134	-11.248618	19.231884	-0.016078101	0.2419455	0.5537473	-0.5495783	4000	3.7252903e-08	17.044334	0.03982808	-7.056246	0.91893864	0.28480506	0.73375	1.0	11.259239912033081
1	15.623458	9.994469	39.507412	1.0783328	35.97273	0.9390322	2.6300914	10.420237	-8.498388	8000	-4.656613e-08	102.6714	0.054794118	-61.403893	0.9187384	0.1606797	0.6725	1.0	21.832921028137207
2	40.96358	29.438387	149.12839	0.43468535	66.67242	7.6451645	4.866746	17.115417	-13.456138	12000	-1.8626451e-08	370.5996	0.04136038	-204.17215	0.91851735	0.09141894	0.59825003	1.0	32.09179878234863
3	69.46499	61.21584	280.1416	-25.485182	101.5946	15.514488	16.821709	44.603313	-37.209885	16000	2.2351742e-08	665.9491	0.03507088	-341.31335	0.9183063	0.07511528	0.5085	1.0	42.791778802871704
4	116.21227	99.07773	316.14804	-6.092828	129.2069	32.904465	26.775244	75.89029	-39.45535	20000	7.916242e-09	1268.0544	0.02527511	-599.538	0.91813475	0.04744021	0.469	1.0	53.180012702941895
5	118.146324	94.08555	308.15338	-1.0569129	139.07408	41.450336	35.586456	83.34204	-62.035076	24000	1.1175871e-08	761.537	0.01809213	-233.14436	0.91798145	0.03828729	0.42000002	1.0	65.08350992202759
6	171.67578	105.31435	414.61804	19.303036	161.39131	54.269897	31.124533	85.63885	-30.751854	28000	-1.3038516e-08	1004.2309	0.017395906	-363.19464	0.91783285	0.036836397	0.4135	1.0	76.54780697822571
7	182.52399	97.9583	313.0433	17.123852	155.21739	71.00516	30.715424	94.890724	-22.382793	32000	-6.519258e-09	923.24506	0.011979077	-262.132	0.91768813	0.033268865	0.3585	1.0	86.56430292129517
8	203.67094	106.549355	395.86053	5.8570175	149.43478	70.937546	31.126558	98.142914	-27.840715	36000	-1.1175871e-08	1183.2947	0.007837959	-661.1435	0.91759115	0.031886466	0.34775	1.0	96.37950277328491
9	222.01558	73.90621	314.7869	37.20962	153.0	83.59533	29.933187	107.95654	-16.96708	40000	0.0	621.86456	0.009848254	-407.21173	0.9174772	0.020549556	0.2995	1.0	106.80046820640564
10	220.85919	78.081345	338.8134	36.375813	161.95238	83.76277	36.40822	115.56178	-11.250247	44000	2.514571e-08	823.7712	0.008656557	-459.43353	0.91738474	0.027315581	0.40025	2.0	117.29540157318115
11	240.16644	57.276432	406.55557	156.87456	163.18182	85.778206	28.920345	111.01547	-13.095259	48000	1.6763806e-08	363.9736	-0.0029575457	-211.89728	0.91727555	0.021289568	0.32599998	2.0	127.8552086353302
12	242.40295	49.61976	347.3431	125.74051	161.25	84.457375	30.719347	111.71568	-4.8599544	52000	7.450581e-09	353.422	-0.0014696978	-200.8424	0.91712517	0.020860493	0.3085	2.0	137.81361961364746
13	265.87796	41.07166	344.49857	209.6956	162.56522	93.24942	26.067059	117.057915	14.917086	56000	-1.6763806e-08	193.04654	-0.03281963	-136.37636	0.9169505	0.016218465	0.21725	14.0	148.90955805778503
14	234.04488	66.0887	317.7308	21.562145	143.24	92.9573	32.31444	117.622025	-0.60213363	60000	-2.2351742e-08	502.49182	-0.0037626848	-335.18805	0.91460574	0.023556747	0.25325	2.0	159.29842734336853
15	257.96832	38.680573	357.9609	177.3444	153.12	96.63198	28.956835	122.213196	15.025771	64000	1.4901161e-08	119.257805	-0.0017689634	-74.315704	0.9142594	0.023731569	0.25975	2.0	169.19062733650208
16	246.14166	58.937706	403.04767	80.91903	149.125	94.42633	31.419985	121.35252	-4.416984	68000	-1.4901161e-08	311.82135	-0.006333858	-140.78247	0.91395086	0.017616546	0.23725	2.0	179.02220034599304
17	257.3217	52.904873	375.41058	98.273285	155.33333	96.42503	30.94285	122.06267	-10.056192	72000	7.450581e-09	246.48692	-0.0036019376	-135.30661	0.91367185	0.016264724	0.2335	2.0	189.02195525169373
18	259.45377	34.667225	360.6714	182.90967	150.56522	97.77489	28.029379	125.972565	10.404194	76000	1.8626451e-09	145.92853	-0.00096968	-96.05356	0.9134431	0.023634773	0.3165	2.0	199.17911505699158
19	291.6953	54.94451	376.2583	228.19556	174.71428	99.263596	28.676533	125.66922	2.4700863	80000	1.8626451e-09	113.615746	-0.028116085	-54.426304	0.9132032	0.015341952	0.2405	12.0	210.71019768714905
