Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.540865	4.6012397	31.0	3.0	9.540865	-0.0815659	0.022401592	0.017542787	-0.1668857	4000	-1.0058284e-07	56.462685	-0.0052294144	-44.07712	0.91893846	0.075795114	0.38225	1.0	5.4342381954193115
1	14.614815	8.101198	48.0	4.0	14.614815	6.608263	2.0611057	8.605338	0.5801556	8000	-7.450581e-09	48.805634	-0.011591463	-14.761196	0.9186385	0.04532573	0.3295	1.0	10.608746767044067
2	19.899498	9.768679	64.0	6.0	19.899498	9.699879	3.0431483	12.774966	0.94628376	12000	3.7252903e-09	52.65081	-0.008159011	-13.602305	0.9183436	0.0317561	0.2645	1.0	16.127370595932007
3	26.193333	12.995228	95.0	5.0	26.193333	11.77674	5.1906767	17.406727	0.6817385	16000	-2.9802322e-08	72.101105	-0.0066731353	-15.68717	0.91804594	0.022417966	0.2305	1.0	22.972888946533203
4	30.576923	13.4340925	71.0	10.0	30.576923	14.542823	6.720698	23.608637	0.60860515	20000	-1.6763806e-08	66.62746	-0.0040979274	-10.077376	0.917751	0.022940781	0.19875	1.0	30.61759901046753
5	35.69159	18.19747	117.0	12.0	35.69159	16.235273	7.711827	25.80112	0.6132984	24000	-2.6077032e-08	108.98999	-0.005868718	-21.68969	0.9174633	0.023961715	0.211	1.0	38.33948612213135
6	40.340206	16.894386	98.0	17.0	40.340206	19.901419	10.051568	34.020836	1.0871897	28000	-1.3038516e-08	63.24419	-0.012647416	-4.070713	0.9171822	0.015416648	0.1665	1.0	46.05136036872864
7	45.662792	19.428228	104.0	15.0	45.662792	20.223835	10.056201	33.488026	1.2716333	32000	0.0	78.59085	-0.006589882	-12.618404	0.91691506	0.022012949	0.19874999	1.0	53.51643133163452
8	56.671642	19.347095	121.0	25.0	56.671642	23.862583	10.738068	37.23679	2.0547416	36000	5.5879354e-09	95.869896	0.0061469497	-31.67707	0.91665083	0.029753536	0.28	2.0	60.965484857559204
9	63.370968	20.465734	117.0	29.0	63.370968	25.536913	12.911224	43.391743	1.4791251	40000	0.0	81.2885	-0.0157209	-18.134779	0.91613185	0.024398133	0.243	1.0	68.32730317115784
